Magazijn,Artikel,Artikelomschrijving,Magazijnlocatie,ABC-teken,Vestiging,Artikelsoort,Goederengroep,Goed.groep omschr.
2301,1480551,KERAMIEK PM1 IBS BZZK (COMPLETE SET),FOA065,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480552,KERAMIEK PM1 IBS FORM.LIJSTEN ONDERZEEF,FOA063,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480552,KERAMIEK PM1 IBS FORM.LIJSTEN ONDERZEEF,FOA063,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480553,KERAMIEK PM1 IBS VLAKZUIGBAK 1,FOA064,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480551,KERAMIEK PM1 IBS BZZK (COMPLETE SET),FOA065,,NRNX,Z00B,PM0640,Papiermach. Specifi
CHEB,1411374,STARCH NAT POTATO DRY,,,NRNX,Z00A,MM0410,Standaard zetmeel
2301,1480553,KERAMIEK PM1 IBS VLAKZUIGBAK 1,FOA064,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480553,KERAMIEK PM1 IBS VLAKZUIGBAK 1,FOA064,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480553,KERAMIEK PM1 IBS VLAKZUIGBAK 1,FOA064,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480551,KERAMIEK PM1 IBS BZZK (COMPLETE SET),FOA065,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480551,KERAMIEK PM1 IBS BZZK (COMPLETE SET),FOA065,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480552,KERAMIEK PM1 IBS FORM.LIJSTEN ONDERZEEF,FOA063,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480552,KERAMIEK PM1 IBS FORM.LIJSTEN ONDERZEEF,FOA063,,NRNX,Z00B,PM0640,Papiermach. Specifi
CHEB,1411401,STARCH NAT WHEAT DRY,,,NRNX,Z00A,MM0410,Standaard zetmeel
2301,1480555,KERAMIEK PM1 IBS VLAKZUIGBAK 3,FOA062,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480557,KERAMIEK PM1 IBS JETCLEANER,FOA062,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480558,KERAMIEK PM1 IBS VILTZUIGBAK DUBBEL,FOC065,,NRNX,Z00B,PM0640,Papiermach. Specifi
2301,1480557,KERAMIEK PM1 IBS JETCLEANER,FOA062,,NRNX,Z00B,PM0640,Papiermach. Specifi
